since,until,name,value
2026-05-01,2026-05-11,2026-05-01,30
2026-05-01,2026-05-11,2026-05-02,90
2026-05-01,2026-05-11,2026-05-03,138
2026-05-01,2026-05-11,2026-05-04,94
2026-05-01,2026-05-11,2026-05-05,88
2026-05-01,2026-05-11,2026-05-06,115
2026-05-01,2026-05-11,2026-05-07,96
2026-05-01,2026-05-11,2026-05-08,32
2026-05-01,2026-05-11,2026-05-09,80
2026-05-01,2026-05-11,2026-05-10,76
2026-05-01,2026-05-11,2026-05-11,70
2026-05-01,2026-05-15,2026-05-01,30
2026-05-01,2026-05-15,2026-05-02,90
2026-05-01,2026-05-15,2026-05-03,138
2026-05-01,2026-05-15,2026-05-04,94
2026-05-01,2026-05-15,2026-05-05,88
2026-05-01,2026-05-15,2026-05-06,115
2026-05-01,2026-05-15,2026-05-07,96
2026-05-01,2026-05-15,2026-05-08,32
2026-05-01,2026-05-15,2026-05-09,80
2026-05-01,2026-05-15,2026-05-10,76
2026-05-01,2026-05-15,2026-05-11,70
2026-05-01,2026-05-15,2026-05-12,95
2026-05-01,2026-05-15,2026-05-13,90
2026-05-01,2026-05-15,2026-05-14,86
2026-05-01,2026-05-15,2026-05-15,80
2026-05-01,2026-05-20,2026-05-01,30
2026-05-01,2026-05-20,2026-05-02,90
2026-05-01,2026-05-20,2026-05-03,138
2026-05-01,2026-05-20,2026-05-04,94
2026-05-01,2026-05-20,2026-05-05,88
2026-05-01,2026-05-20,2026-05-06,115
2026-05-01,2026-05-20,2026-05-07,96
2026-05-01,2026-05-20,2026-05-08,32
2026-05-01,2026-05-20,2026-05-09,80
2026-05-01,2026-05-20,2026-05-10,76
2026-05-01,2026-05-20,2026-05-11,70
2026-05-01,2026-05-20,2026-05-12,95
2026-05-01,2026-05-20,2026-05-13,90
2026-05-01,2026-05-20,2026-05-14,86
2026-05-01,2026-05-20,2026-05-15,80
2026-05-01,2026-05-20,2026-05-16,135
2026-05-01,2026-05-20,2026-05-17,128
2026-05-01,2026-05-20,2026-05-18,125
2026-05-01,2026-05-20,2026-05-19,119
2026-05-01,2026-05-20,2026-05-20,112
2026-05-01,2026-05-25,2026-05-01,30
2026-05-01,2026-05-25,2026-05-02,90
2026-05-01,2026-05-25,2026-05-03,138
2026-05-01,2026-05-25,2026-05-04,94
2026-05-01,2026-05-25,2026-05-05,88
2026-05-01,2026-05-25,2026-05-06,115
2026-05-01,2026-05-25,2026-05-07,96
2026-05-01,2026-05-25,2026-05-08,32
2026-05-01,2026-05-25,2026-05-09,80
2026-05-01,2026-05-25,2026-05-10,76
2026-05-01,2026-05-25,2026-05-11,70
2026-05-01,2026-05-25,2026-05-12,95
2026-05-01,2026-05-25,2026-05-13,90
2026-05-01,2026-05-25,2026-05-14,86
2026-05-01,2026-05-25,2026-05-15,80
2026-05-01,2026-05-25,2026-05-16,135
2026-05-01,2026-05-25,2026-05-17,128
2026-05-01,2026-05-25,2026-05-18,125
2026-05-01,2026-05-25,2026-05-19,119
2026-05-01,2026-05-25,2026-05-20,112
2026-05-01,2026-05-25,2026-05-21,105
2026-05-01,2026-05-25,2026-05-22,105
2026-05-01,2026-05-25,2026-05-23,104
2026-05-01,2026-05-25,2026-05-24,104
2026-05-01,2026-05-25,2026-05-25,104
