Nome da campanha,Status de veiculação,Nível de veiculação,Tipo de resultado,Resultados,Custo por resultado,Valor usado (BRL),Impressões,Alcance,Configuração de atribuição,Frequência,CTR (todos),CPC (todos),Cliques no link,CPM (custo por 1.000 impressões),CPC (custo por clique no link),Connect Rate (%),Visualizadores,Cliques (todos),Tempo médio de reprodução do vídeo,Reproduções de 25% do vídeo,Reproduções de 50% do vídeo,Reproduções de 75% do vídeo,Reproduções de 95% do vídeo,Reproduções de 100% do vídeo,Engajamento com a Página,Cliques de saída,CTR de saída (taxa de cliques),Leads no site,Início dos relatórios,Encerramento dos relatórios
FOX-EletroCircular-JUNHO26-Social-Forms-B2B-01,active,campaign,Leads (formulário),1318,3.19439302,4210.21,254892,150680,Clique de 7 dias ou visualização de 1 dia,1.69161136,3.89419833,0.42415978,5763,16.51762315,0.73055874,0.16657991,150680,9926,4,77,49,44,34,34,7322,396,0.15535992,345,2026-06-01,2026-06-14
FOX-EletroCircular-MAIO26-Social-Forms-B2B-01,inactive,campaign,Leads (formulário),2880,3.47194097,9999.19,552103,215247,Clique de 7 dias ou visualização de 1 dia,2.56497419,3.65837534,0.49505842,11448,18.11109521,0.87344427,0.19025157,215247,20198,4,171,112,87,68,63,13657,731,0.13240283,1027,2026-01-01,2026-06-08
FOX-EletroCircular-ABRIL26-Social-Forms-B2B-01,inactive,campaign,Leads (formulário),1609,5.04889372,8123.67,364568,102494,Clique de 7 dias ou visualização de 1 dia,3.55696919,3.38592526,0.65810677,6702,22.28300345,1.21212623,0.18203521,101395,12344,5,25714,17640,15241,6707,6450,42136,535,0.14674903,644,2026-01-01,2026-06-08
FOX_EletroCircular_FEV-MAR26_Social_Trafego-B2B_01,inactive,campaign,Visualizações da página de destino,73351,0.06795027,4984.22,1783139,1010122,Clique de 7 dias ou visualização de 1 dia,1.76527093,5.07475861,0.05508034,89695,2.79519432,0.05556854,0.81778249,1006193,90490,5,10034,5338,3847,3014,2910,104991,89687,5.02972567,32,2026-01-01,2026-06-08
FOX_EletroCircular_FEV-MAR26_Social_Forms-B2B_01,inactive,campaign,Leads (formulário),980,4.64034694,4547.54,147388,54108,Clique de 7 dias ou visualização de 1 dia,2.72395949,4.31921188,0.7143481,3112,30.85420794,1.46129177,0.24775064,53654,6366,5,30087,21552,18719,8126,7829,43181,515,0.34941786,469,2026-01-01,2026-06-08
FOX_EletroCircular_MAR26-ABR26_Social_Trafego-B2B_02,inactive,campaign,Visualizações da página de destino,40621,0.04146181,1684.22,572162,234845,Clique de 7 dias ou visualização de 1 dia,2.43633886,7.91698855,0.03718089,51178,2.94360688,0.03290906,0.79371996,234412,45298,8,7489,4289,3675,2037,1896,60568,51177,8.94449474,70,2026-01-01,2026-06-08
FOX_EletroCircular_MAR26-ABR26_Trafego_Direto_Comercial-B2B_03,inactive,campaign,Visualizações da página de destino,27697,0.05380944,1490.36,397604,166313,Clique de 7 dias ou visualização de 1 dia,2.39069706,7.42950272,0.05045227,35410,3.74835263,0.04208868,0.78218018,165107,29540,8,9105,4684,3843,2470,2374,46311,35410,8.90584602,41,2026-01-01,2026-06-08
FOX-EletroCircular-ABRIL26-Social-Tráfego-B2B-02,inactive,campaign,Visualizações da página de destino,18058,0.05571215,1006.05,239588,106971,Clique de 7 dias ou visualização de 1 dia,2.23974722,8.3969147,0.05000746,24243,4.19908343,0.04149858,0.74487481,104917,20118,8,37687,21653,17169,15605,15473,67336,24243,10.1186203,92,2026-01-01,2026-06-08
FOX_EletroCircular_MAR26-ABR26_Alcance_Direto_Comercial-B2B_04,inactive,campaign,Alcance,235231,3.26236763,767.41,468248,235231,Clique de 7 dias ou visualização de 1 dia,1.99058798,0.07645521,2.14360335,232,1.63889648,3.30780172,0,216131,358,1,10541,3102,1459,947,874,35752,228,0.04869215,,2026-01-01,2026-06-08
FOX-EletroCircular-ABRIL26-Social-Alcance-Direto-Comercial-B2B-02,inactive,campaign,Alcance,184025,3.04301046,559.99,392058,184025,Clique de 7 dias ou visualização de 1 dia,2.13046054,0.09105796,1.56859944,269,1.42833458,2.08174721,0,153161,357,2,34430,10366,4746,2967,2699,64081,265,0.06759204,,2026-01-01,2026-06-08
FOX-EletroCircular-ABRIL26-Social-Tráfego-Direto-Comercial-B2B-01,inactive,campaign,Alcance,121492,2.5289731,307.25,222008,121492,Clique de 7 dias ou visualização de 1 dia,1.82734666,0.09819466,1.40940367,155,1.38395914,1.98225806,0,98620,218,2,13506,3831,1787,1170,1062,38349,155,0.0698173,,2026-01-01,2026-06-08
FOX-EletroCircular-ABRIL26-Social-Forms-B2B-03-Ad+,inactive,campaign,Leads,1,14.79,14.79,611,486,Clique de 7 dias ou visualização de 1 dia,1.25720165,5.72831424,0.42257143,33,24.20621931,0.44818182,0.72727273,476,35,7,223,181,118,92,87,273,31,5.07364975,,2026-01-01,2026-06-08
