month,channel,metric,value,unit
Junho,Geral,Entradas,2201,count
Junho,Geral,CNPJs Ativos,1524,count
Junho,Geral,Inaptos/Baixados,98,count
Junho,Geral,Verif. CNPJ,578,count
Junho,Geral,PEV Validado,176,count
Junho,Geral,Conversão total,8.00,percent
Junho,PNRS,Entradas,1370,count
Junho,PNRS,CNPJs Ativos,945,count
Junho,PNRS,Inaptos/Baixados,67,count
Junho,PNRS,Verif. CNPJ,357,count
Junho,PNRS,PEV Validado,122,count
Junho,PNRS,Conversão total,8.91,percent
Junho,Não PNRS,Entradas,831,count
Junho,Não PNRS,CNPJs Ativos,579,count
Junho,Não PNRS,Inaptos/Baixados,31,count
Junho,Não PNRS,Verif. CNPJ,221,count
Junho,Não PNRS,PEV Validado,54,count
Junho,Não PNRS,Conversão total,6.50,percent
Julho,Geral,Entradas,582,count
Julho,Geral,PEV Validado,19,count
Julho,Geral,Conversão total,3.26,percent
Julho,PNRS,Entradas,405,count
Julho,PNRS,PEV Validado,12,count
Julho,PNRS,Conversão total,2.96,percent
Julho,Não PNRS,Entradas,177,count
Julho,Não PNRS,PEV Validado,7,count
Julho,Não PNRS,Conversão total,3.95,percent
